PID 1: Arrival=0.00, Burst=3.00, Completion=3.00, Wait=0.00, Turnaround=3.00
PID 2: Arrival=0.00, Burst=7.60, Completion=0.00, Wait=-7.60, Turnaround=0.00
PID 3: Arrival=0.00, Burst=6.20, Completion=0.00, Wait=-6.20, Turnaround=0.00
PID 4: Arrival=0.00, Burst=5.80, Completion=0.00, Wait=-5.80, Turnaround=0.00
PID 5: Arrival=0.00, Burst=6.00, Completion=0.00, Wait=-6.00, Turnaround=0.00
PID 6: Arrival=1.00, Burst=2.10, Completion=15.10, Wait=12.00, Turnaround=14.10
PID 7: Arrival=1.00, Burst=3.00, Completion=22.40, Wait=18.40, Turnaround=21.40
PID 8: Arrival=1.00, Burst=4.30, Completion=52.00, Wait=46.70, Turnaround=51.00
PID 9: Arrival=1.00, Burst=5.60, Completion=119.00, Wait=112.40, Turnaround=118.00
PID 10: Arrival=1.00, Burst=1.50, Completion=134.80, Wait=132.30, Turnaround=133.80
PID 11: Arrival=2.00, Burst=1.80, Completion=4.80, Wait=1.00, Turnaround=2.80
PID 12: Arrival=2.00, Burst=4.40, Completion=26.80, Wait=20.40, Turnaround=24.80
PID 13: Arrival=2.00, Burst=3.70, Completion=55.70, Wait=50.00, Turnaround=53.70
PID 14: Arrival=2.00, Burst=5.10, Completion=113.40, Wait=106.30, Turnaround=111.40
PID 15: Arrival=2.00, Burst=6.90, Completion=151.20, Wait=142.30, Turnaround=149.20
PID 16: Arrival=3.00, Burst=0.90, Completion=5.70, Wait=1.80, Turnaround=2.70
PID 17: Arrival=3.00, Burst=2.60, Completion=19.40, Wait=13.80, Turnaround=16.40
PID 18: Arrival=3.00, Burst=3.30, Completion=47.70, Wait=41.40, Turnaround=44.70
PID 19: Arrival=3.00, Burst=4.90, Completion=108.30, Wait=100.40, Turnaround=105.30
PID 20: Arrival=3.00, Burst=8.20, Completion=133.30, Wait=122.10, Turnaround=130.30
PID 21: Arrival=4.00, Burst=1.70, Completion=16.80, Wait=11.10, Turnaround=12.80
PID 22: Arrival=4.00, Burst=3.90, Completion=30.70, Wait=22.80, Turnaround=26.70
PID 23: Arrival=4.00, Burst=2.20, Completion=77.30, Wait=71.10, Turnaround=73.30
PID 24: Arrival=4.00, Burst=4.60, Completion=103.40, Wait=94.80, Turnaround=99.40
PID 25: Arrival=4.00, Burst=6.40, Completion=157.60, Wait=147.20, Turnaround=153.60
PID 26: Arrival=5.00, Burst=1.30, Completion=7.00, Wait=0.70, Turnaround=2.00
PID 27: Arrival=5.00, Burst=3.50, Completion=34.20, Wait=25.70, Turnaround=29.20
PID 28: Arrival=5.00, Burst=4.70, Completion=75.10, Wait=65.40, Turnaround=70.10
PID 29: Arrival=5.00, Burst=4.00, Completion=98.80, Wait=89.80, Turnaround=93.80
PID 30: Arrival=5.00, Burst=9.10, Completion=173.50, Wait=159.40, Turnaround=168.50
PID 31: Arrival=6.00, Burst=2.90, Completion=13.00, Wait=4.10, Turnaround=7.00
PID 32: Arrival=6.00, Burst=3.10, Completion=37.30, Wait=28.20, Turnaround=31.30
PID 33: Arrival=6.00, Burst=3.80, Completion=70.40, Wait=60.60, Turnaround=64.40
PID 34: Arrival=6.00, Burst=4.50, Completion=94.80, Wait=84.30, Turnaround=88.80
PID 35: Arrival=6.00, Burst=6.80, Completion=164.40, Wait=151.60, Turnaround=158.40
PID 36: Arrival=6.00, Burst=1.10, Completion=10.10, Wait=3.00, Turnaround=4.10
PID 37: Arrival=6.00, Burst=2.40, Completion=39.70, Wait=31.30, Turnaround=33.70
PID 38: Arrival=6.00, Burst=3.60, Completion=66.60, Wait=57.00, Turnaround=60.60
PID 39: Arrival=6.00, Burst=4.20, Completion=90.30, Wait=80.10, Turnaround=84.30
PID 40: Arrival=6.00, Burst=9.50, Completion=144.30, Wait=128.80, Turnaround=138.30
PID 41: Arrival=6.00, Burst=0.80, Completion=9.00, Wait=2.20, Turnaround=3.00
PID 42: Arrival=6.00, Burst=1.90, Completion=44.40, Wait=36.50, Turnaround=38.40
PID 43: Arrival=6.00, Burst=3.40, Completion=63.00, Wait=53.60, Turnaround=57.00
PID 44: Arrival=6.00, Burst=4.10, Completion=86.10, Wait=76.00, Turnaround=80.10
PID 45: Arrival=6.00, Burst=6.10, Completion=125.10, Wait=113.00, Turnaround=119.10
PID 46: Arrival=6.00, Burst=1.20, Completion=8.20, Wait=1.00, Turnaround=2.20
PID 47: Arrival=6.00, Burst=2.80, Completion=42.50, Wait=33.70, Turnaround=36.50
PID 48: Arrival=6.00, Burst=3.90, Completion=59.60, Wait=49.70, Turnaround=53.60
PID 49: Arrival=6.00, Burst=4.70, Completion=82.00, Wait=71.30, Turnaround=76.00
